"Country","QualityofLifeIndex","PurchasingPowerIndex","SafetyIndex","HealthCareIndex","CostofLivingIndex","PropertyPricetoIncomeRatio","TrafficCommuteTimeIndex","PollutionIndex","ClimateIndex","Year"
"Israel",157.9,94.5,71,74.8,77.7,10.9,36.5,61.7,81,2017
"Slovakia",152.5,64.7,69.8,62.6,44.9,9.9,36,43.5,65.1,2017
"Poland",150.2,71.8,68.5,61.5,38.1,10.1,34.6,50.3,62.5,2017
"Taiwan",150.1,118.6,82.8,81.1,61.4,12.9,32.7,62.9,24.5,2017
"Greece",148.3,58.2,59.7,53.9,55.9,8.3,31.6,52,87.3,2017
"Japan",147.5,102.5,79.1,78.6,85.3,12.7,46.8,41,31.9,2017
"Saudi Arabia",146.4,138.1,76.4,60.4,48.4,2.8,36.3,74.2,18,2017
"South Africa",144.7,99,24.3,61.7,43.1,3.6,43,63.6,88.7,2017
"Romania",143,53.4,72.1,53.1,35.6,10.8,32,50.9,64.5,2017
"Italy",142.5,71.8,55.3,66.3,83.7,12.4,36.4,51.6,82.6,2017
"Argentina",139.6,58.4,37.4,73.3,52.6,12.1,37.9,53.3,90.7,2017
"United Arab Emirates",139.3,116.8,79.3,60.5,68,5.6,35.1,58.5,8.9,2017
"Bosnia And Herzegovina",139.1,51.3,59,61.5,35,11.3,26.6,60.7,73.3,2017
"Hungary",138.8,47.5,61.6,53.5,42.8,11.2,33.1,44,66.5,2017
"Bulgaria",138.2,51.4,59.8,54,36.5,9.1,27.9,63.1,77.1,2017
"Chile",136.2,61.3,52.5,61,50.1,10.7,35.7,67.7,89.4,2017
"Serbia",133.4,40.8,61.4,53.9,33.8,17.9,29.9,55.3,82.7,2017
"Qatar",132.4,111.3,84.3,66.1,69.2,6.2,33,73.3,9.3,2017
"Lithuania",130.3,51.7,60,68.7,46.7,14.2,28,34.3,25,2017
"Turkey",129.6,55.6,58.9,71.7,38.6,8.9,47.6,70.5,73.2,2017
"Mexico",129.1,60.1,49.7,70.1,29.8,6.9,41.7,66.7,60.7,2017
"Belarus",119.2,36.4,77.7,53.8,33.8,18.7,27.7,39.6,20.1,2017
"Jordan",117.5,42.3,56.9,71.9,59.2,8,47.8,85.7,88.4,2017
"North Macedonia",116.4,39.8,61.3,63.5,30.9,14.7,33.8,83.4,75.5,2017
"Colombia",115.4,37.6,48.3,65.8,34.4,19.4,43.8,63.9,81.3,2017
"Lebanon",106.2,53.6,50.8,64.3,61.7,13.9,36.1,85.1,69.4,2017
"India",101.5,76.7,56,69.2,25.1,10.3,46.4,76.5,9.3,2017
"Iran",97.2,43.2,49.1,51.6,38.3,13.5,49.7,82.5,71.5,2017
"Brazil",96.2,42.4,29.4,51.7,53.1,17,46.4,61.2,70.8,2017
"Hong Kong",94.5,81.5,79.3,68,80,36.1,42.2,69.9,29.7,2017
"Pakistan",93.4,39.9,45.6,59,27.2,12.1,38.7,80.1,42.5,2017
"Egypt",91.8,29.4,47.1,43.7,22.4,10.7,48.8,88.9,75.6,2017
"China",91,67.8,66.1,62.2,44.8,23.3,43.9,89,38.7,2017
"Sri Lanka",89,30.3,65.4,80,33.5,17.5,47.2,61.9,2.4,2017
"Ukraine",87.5,26.9,48.7,49.8,26.2,22.9,39.2,67.3,49.9,2017
"Singapore",86.5,92.7,83.4,69.9,82.4,21.6,43.4,37,-71.5,2017
"Russia",85.9,48.3,53.9,56.4,42,13.5,48.6,63,10.7,2017
"Indonesia",62,27.6,50.3,64.8,41.1,21,49.4,76.4,9.6,2017
"Thailand",57.2,34.3,50.2,80.7,43.7,24.4,43.6,73.2,-20.2,2017
"Philippines",56.9,36,60.2,69.2,34.7,16.9,45.1,70.2,-44.1,2017
"Malaysia",51.6,73.3,35.2,66,40.2,9.5,39.4,67.1,-79.4,2017
"Vietnam",36.1,24.8,47,47.9,40.1,26.8,33,88.1,-12.9,2017
"Venezuela",0,3.3,14.7,36.9,38.3,202.1,46.2,72.9,91.2,2017
"Denmark",197.7,117.5,78,77.1,93.3,7.2,28.5,23.6,82.4,2018
"Finland",195.3,119.4,76.3,75.4,81.7,7.5,33.2,12.1,58.6,2018
"Netherlands",191.3,109.5,71.1,81.1,82.7,6.7,32.7,27.2,86.9,2018
"Switzerland",190.8,126.1,78.2,71.7,131.4,10.9,29.3,23,79.8,2018
"Austria",190.2,98.7,79.6,78.8,81.5,9.6,27,22.9,77.7,2018
"Germany",190,125,63.3,75.4,74.3,8,31.3,27.3,82.5,2018
"Australia",188.7,123,57.5,76.2,84.3,7.4,36.3,24.8,92.4,2018
"New Zealand",182.4,98.6,60.8,72,83.4,8.2,34.5,21.8,96.1,2018
"United States",180.6,127.6,50.4,68.4,73,3.3,34.7,31.7,78.2,2018
"Sweden",176.8,113,50.7,70.4,83.7,10.5,30.7,19.1,75.1,2018
"Estonia",176.4,74.8,79.2,71.3,57.6,9.2,32.7,17.2,63.6,2018
"Norway",176.3,108,56.7,74.7,113.7,8.7,31,20.2,71.9,2018
"Japan",176,107.4,86.9,81.7,86.6,12.6,44.5,41.7,84.8,2018
"Slovenia",175.4,80.3,75.3,64.7,59.6,8.4,27.8,26.2,76.3,2018
"Spain",174.9,90.7,63.3,77.5,61.8,8,31.4,38.1,93.9,2018
"Canada",173.9,118.9,60.7,70.6,72.5,6.1,36.1,27.7,52.8,2018
"United Kingdom",171.9,108.5,58.8,74.2,75.8,9.3,35.8,37.7,87.9,2018
"Portugal",166.7,62,65.5,69.5,55.9,10,30.3,30.5,97.4,2018
"France",166.2,101.2,54.7,78,83.9,9.9,35,40.4,89.8,2018
"Belgium",164,98.9,57.8,80.4,83.3,7.1,34.6,48.9,86.1,2018
